DataStructure,Variant,WorkersNum,Mean
RDD,1,1,44.362346696853635
RDD,1,2,23.758493089675902
RDD,1,3,17.46725115776062
RDD,1,4,17.00481786727905
RDD,1,5,16.435511207580568
RDD,1,6,15.611356401443482
RDD,1,7,15.604358530044555
RDD,1,8,15.22194037437439
RDD,1,9,15.991070985794067
DataFrame,1,1,8.062828922271729
DataFrame,1,2,6.3605152606964115
DataFrame,1,3,6.280957126617432
DataFrame,1,4,6.587774848937988
DataFrame,1,5,6.597464084625244
DataFrame,1,6,7.22327184677124
DataFrame,1,7,7.447644472122192
DataFrame,1,8,7.8194786548614506
DataFrame,1,9,8.153690719604493
