DataStructure,Variant,WorkersNum,Mean
RDD,1,1,1.6977777481079102
RDD,1,2,2.169368124008179
RDD,1,3,2.4952018737792967
RDD,1,4,2.4392569780349733
RDD,1,5,2.250243401527405
RDD,1,6,2.4078279972076415
RDD,1,7,2.332538366317749
RDD,2,1,1.1006942987442017
RDD,2,2,1.0299310445785523
RDD,2,3,1.1350558996200562
RDD,2,4,1.0022500038146973
RDD,2,5,0.9502127647399903
RDD,2,6,0.9629277944564819
RDD,2,7,0.9825979948043824
DataFrame,1,1,19.781137919425966
DataFrame,1,2,19.59350690841675
DataFrame,1,3,24.072310662269594
DataFrame,1,4,26.363581919670104
DataFrame,1,5,28.871790885925293
DataFrame,1,6,32.840597248077394
DataFrame,1,7,35.51872515678406
